ndar id,ndar name,ndar missing value,mapping,ndar range,coins id,default value,coins name,coins missing value,function,args,coins range
0,subjectkey,9999,0,,0,9999,ursi,"~<userSkipped>~,~<condSkipped>~",findGuid,,
1,src_subject_id,9999,0,,1,9999,oldest_ursi,,,,
2,interview_date,9999,3,,2,9999,asmt_ursi,,,,
3,interview_age,9999,"0,3",0 :: 1260,3,9999,assessment_date,,findAge,,
4,gender,9999,0,M;F; T,4,9999,assessment_id,,findGender,,
5,apev_01,9999,15,0;1,5,9999,ursi,,,,
6,apra_01,9999,18,-1::1,6,9999,instrument,,,,
7,apev_02,9999,21,0;1,7,9999,segment_interval,,,,
8,apra_02,9999,24,-1::1,8,9999,segment_instance,,,,
9,apev_03,9999,27,0;1,9,9999,entry_code,,,,
10,apra_03,9999,30,-1::1,10,9999,site_id,,,,
11,apev_04,9999,33,0;1,11,9999,source_type,,,,
12,apra_04,9999,36,-1::1,12,9999,rater1,,,,
13,apev_05,9999,39,0;1,13,9999,successfully_completed,,,,
14,apra_05,9999,42,-1::1,14,9999,notes,,,,
15,apev_06,9999,45,0;1,15,9999,twinv-apev_001t-1,,,,-1::1
16,apra_06,9999,48,-1::1,16,9999,pilot-apev_001t-1,,,,-1::1
17,apev_07,9999,51,0;1,17,9999,hgrd1_tv1-apev_001t-1,,,,-1::1
18,apra_07,9999,54,-1::1,18,9999,twinv-apra_001t-1,,,,0;1
19,apev_08,9999,57,0;1,19,9999,pilot-apra_001t-1,,,,0;1
20,apra_08,9999,60,-1::1,20,9999,hgrd1_tv1-apra_001t-1,,,,0;1
21,apev_09,9999,63,0;1,21,9999,twinv-apev_002t-1,,,,-1::1
22,apra_09,9999,66,-1::1,22,9999,pilot-apev_002t-1,,,,-1::1
23,apev_10,9999,69,0;1,23,9999,hgrd1_tv1-apev_002t-1,,,,-1::1
24,apra_10,9999,72,-1::1,24,9999,twinv-apra_002t-1,,,,0;1
25,apev_11,9999,75,0;1,25,9999,pilot-apra_002t-1,,,,0;1
26,apra_11,9999,78,-1::1,26,9999,hgrd1_tv1-apra_002t-1,,,,0;1
27,apev_12,9999,81,0;1,27,9999,twinv-apev_003t-1,,,,-1::1
28,apra_12,9999,84,-1::1,28,9999,pilot-apev_003t-1,,,,-1::1
29,apev_13,9999,87,0;1,29,9999,hgrd1_tv1-apev_003t-1,,,,-1::1
30,apra_13,9999,90,-1::1,30,9999,twinv-apra_003t-1,,,,0;1
31,apev_14,9999,93,0;1,31,9999,pilot-apra_003t-1,,,,0;1
32,apra_14,9999,96,-1::1,32,9999,hgrd1_tv1-apra_003t-1,,,,0;1
33,apev_15,9999,99,0;1,33,9999,twinv-apev_004t-1,,,,-1::1
34,apra_15,9999,102,-1::1,34,9999,pilot-apev_004t-1,,,,-1::1
35,apev_16,9999,105,0;1,35,9999,hgrd1_tv1-apev_004t-1,,,,-1::1
36,apra_16,9999,108,-1::1,36,9999,twinv-apra_004t-1,,,,0;1
37,apev_17,9999,111,0;1,37,9999,pilot-apra_004t-1,,,,0;1
38,apra_17,9999,114,-1::1,38,9999,hgrd1_tv1-apra_004t-1,,,,0;1
39,apev_18,9999,117,0;1,39,9999,twinv-apev_005t-1,,,,-1::1
40,apra_18,9999,120,-1::1,40,9999,pilot-apev_005t-1,,,,-1::1
41,apev_19,9999,123,0;1,41,9999,hgrd1_tv1-apev_005t-1,,,,-1::1
42,apra_19,9999,126,-1::1,42,9999,twinv-apra_005t-1,,,,0;1
43,apev_20,9999,129,0;1,43,9999,pilot-apra_005t-1,,,,0;1
44,apra_20,9999,132,-1::1,44,9999,hgrd1_tv1-apra_005t-1,,,,0;1
45,apev_21,9999,135,0;1,45,9999,twinv-apev_006t-1,,,,-1::1
46,apra_21,9999,138,-1::1,46,9999,pilot-apev_006t-1,,,,-1::1
47,apev_22,9999,141,0;1,47,9999,hgrd1_tv1-apev_006t-1,,,,-1::1
48,apra_22,9999,144,-1::1,48,9999,twinv-apra_006t-1,,,,0;1
49,apev_23,9999,147,0;1,49,9999,pilot-apra_006t-1,,,,0;1
50,apra_23,9999,150,-1::1,50,9999,hgrd1_tv1-apra_006t-1,,,,0;1
51,apev_24,9999,153,0;1,51,9999,twinv-apev_007t-1,,,,-1::1
52,apra_24,9999,156,-1::1,52,9999,pilot-apev_007t-1,,,,-1::1
53,apev_25,9999,159,0;1,53,9999,hgrd1_tv1-apev_007t-1,,,,-1::1
54,apra_25,9999,162,-1::1,54,9999,twinv-apra_007t-1,,,,0;1
55,apev_26,9999,165,0;1,55,9999,pilot-apra_007t-1,,,,0;1
56,apra_26,9999,168,-1::1,56,9999,hgrd1_tv1-apra_007t-1,,,,0;1
57,apev_27,9999,171,0;1,57,9999,twinv-apev_008t-1,,,,-1::1
58,apra_27,9999,174,-1::1,58,9999,pilot-apev_008t-1,,,,-1::1
59,apev_28,9999,177,0;1,59,9999,hgrd1_tv1-apev_008t-1,,,,-1::1
60,apra_28,9999,180,-1::1,60,9999,twinv-apra_008t-1,,,,0;1
61,apev_29,9999,183,0;1,61,9999,pilot-apra_008t-1,,,,0;1
62,apra_29,9999,186,-1::1,62,9999,hgrd1_tv1-apra_008t-1,,,,0;1
63,apev_30,9999,189,0;1,63,9999,twinv-apev_009t-1,,,,-1::1
64,apra_30,9999,192,-1::1,64,9999,pilot-apev_009t-1,,,,-1::1
65,apev_31,9999,195,0;1,65,9999,hgrd1_tv1-apev_009t-1,,,,-1::1
66,apra_31,9999,198,-1::1,66,9999,twinv-apra_009t-1,,,,0;1
67,apev_32,9999,201,0;1,67,9999,pilot-apra_009t-1,,,,0;1
68,apra_32,9999,204,-1::1,68,9999,hgrd1_tv1-apra_009t-1,,,,0;1
69,apev_33,9999,207,0;1,69,9999,twinv-apev_010t-1,,,,-1::1
70,apra_33,9999,210,-1::1,70,9999,pilot-apev_010t-1,,,,-1::1
71,apev_34,9999,213,0;1,71,9999,hgrd1_tv1-apev_010t-1,,,,-1::1
72,apra_34,9999,216,-1::1,72,9999,twinv-apra_010t-1,,,,0;1
73,apev_35,9999,219,0;1,73,9999,pilot-apra_010t-1,,,,0;1
74,apra_35,9999,222,-1::1,74,9999,hgrd1_tv1-apra_010t-1,,,,0;1
75,apev_36,9999,225,0;1,75,9999,twinv-apev_011t-1,,,,-1::1
76,apra_36,9999,228,-1::1,76,9999,pilot-apev_011t-1,,,,-1::1
77,apev_37,9999,231,0;1,77,9999,hgrd1_tv1-apev_011t-1,,,,-1::1
78,apra_37,9999,234,-1::1,78,9999,twinv-apra_011t-1,,,,0;1
79,apev_38,9999,237,0;1,79,9999,pilot-apra_011t-1,,,,0;1
80,apra_38,9999,240,-1::1,80,9999,hgrd1_tv1-apra_011t-1,,,,0;1
81,apev_39,9999,243,0;1,81,9999,twinv-apev_012t-1,,,,-1::1
82,apra_39,9999,246,-1::1,82,9999,pilot-apev_012t-1,,,,-1::1
83,apev_40,9999,249,0;1,83,9999,hgrd1_tv1-apev_012t-1,,,,-1::1
84,apra_40,9999,252,-1::1,84,9999,twinv-apra_012t-1,,,,0;1
85,apev_41,9999,255,0;1,85,9999,pilot-apra_012t-1,,,,0;1
86,apra_41,9999,258,-1::1,86,9999,hgrd1_tv1-apra_012t-1,,,,0;1
87,apev_42,9999,261,0;1,87,9999,twinv-apev_013t-1,,,,-1::1
88,apra_42,9999,264,-1::1,88,9999,pilot-apev_013t-1,,,,-1::1
89,apev_43,9999,267,0;1,89,9999,hgrd1_tv1-apev_013t-1,,,,-1::1
90,apra_43,9999,270,-1::1,90,9999,twinv-apra_013t-1,,,,0;1
91,apev_44,9999,273,0;1,91,9999,pilot-apra_013t-1,,,,0;1
92,apra_44,9999,276,-1::1,92,9999,hgrd1_tv1-apra_013t-1,,,,0;1
93,apev_45,9999,279,0;1,93,9999,twinv-apev_014t-1,,,,-1::1
94,apra_45,9999,282,-1::1,94,9999,pilot-apev_014t-1,,,,-1::1
95,apev_46,9999,285,0;1,95,9999,hgrd1_tv1-apev_014t-1,,,,-1::1
96,apra_46,9999,288,-1::1,96,9999,twinv-apra_014t-1,,,,0;1
97,apev_47,9999,291,0;1,97,9999,pilot-apra_014t-1,,,,0;1
98,apra_47,9999,294,-1::1,98,9999,hgrd1_tv1-apra_014t-1,,,,0;1
99,apev_48,9999,297,0;1,99,9999,twinv-apev_015t-1,,,,-1::1
100,apra_48,9999,300,-1::1,100,9999,pilot-apev_015t-1,,,,-1::1
101,apev_49,9999,303,0;1,101,9999,hgrd1_tv1-apev_015t-1,,,,-1::1
102,apra_49,9999,306,-1::1,102,9999,twinv-apra_015t-1,,,,0;1
103,apev_50,9999,309,0;1,103,9999,pilot-apra_015t-1,,,,0;1
104,apra_50,9999,312,-1::1,104,9999,hgrd1_tv1-apra_015t-1,,,,0;1
105,apev_51,9999,315,0;1,105,9999,twinv-apev_016t-1,,,,-1::1
