ndar id,ndar name,ndar missing value,mapping,ndar range,coins id,default value,coins name,coins missing value,function,args,coins range
0,subjectkey,,0,,1,,oldest_ursi,"~<userSkipped>~,~<condSkipped>~,",findGuid,,
1,src_subject_id,,0,,2,,asmt_ursi,"~<userSkipped>~,~<condSkipped>~,",,,
2,interview_date,,3,,3,,assessment_date,"~<userSkipped>~,~<condSkipped>~,",,,
3,interview_age,,"0,3",,4,,assessment_id,"~<userSkipped>~,~<condSkipped>~,",findAge,,
4,gender,,0,,5,,instrument,"~<userSkipped>~,~<condSkipped>~,",findGender,,
5,pswq1,,14,1::5,6,,segment_interval,"~<userSkipped>~,~<condSkipped>~,",,,
6,pswq2,,16,1::5,7,,segment_instance,"~<userSkipped>~,~<condSkipped>~,",,,
7,pswq3,,18,1::5,8,,entry_code,"~<userSkipped>~,~<condSkipped>~,",,,
8,pswq4,,20,1::5,9,,site_id,"~<userSkipped>~,~<condSkipped>~,",,,
9,pswq5,,22,1::5,10,,source_type,"~<userSkipped>~,~<condSkipped>~,",,,
10,pswq6,,24,1::5,11,,rater1,"~<userSkipped>~,~<condSkipped>~,",,,
11,pswq7,,26,1::5,12,,successfully_completed,"~<userSkipped>~,~<condSkipped>~,",,,
12,pswq8,,28,1::5,13,,notes,"~<userSkipped>~,~<condSkipped>~,",,,
13,pswq9,,30,1::5,14,,twinv-pq_001t-1,"~<userSkipped>~,~<condSkipped>~,",,,
14,pswq10,,32,1::5,15,,pilot-pq_001t-1,"~<userSkipped>~,~<condSkipped>~,",,,
15,pswq11,,34,1::5,16,,twinv-pq_002t-1,"~<userSkipped>~,~<condSkipped>~,",,,
16,pswq12,,36,1::5,17,,pilot-pq_002t-1,"~<userSkipped>~,~<condSkipped>~,",,,
17,pswq13,,38,1::5,18,,twinv-pq_003t-1,"~<userSkipped>~,~<condSkipped>~,",,,
18,pswq14,,40,1::5,19,,pilot-pq_003t-1,"~<userSkipped>~,~<condSkipped>~,",,,
19,pswq15,,42,1::5,20,,twinv-pq_004t-1,"~<userSkipped>~,~<condSkipped>~,",,,
20,pswq16,,44,1::5,21,,pilot-pq_004t-1,"~<userSkipped>~,~<condSkipped>~,",,,
21,pswq_total,,"14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44",16::80,22,,twinv-pq_005t-1,"~<userSkipped>~,~<condSkipped>~,",sum,,
,,,,,23,,pilot-pq_005t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,24,,twinv-pq_006t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,25,,pilot-pq_006t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,26,,twinv-pq_007t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,27,,pilot-pq_007t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,28,,twinv-pq_008t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,29,,pilot-pq_008t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,30,,twinv-pq_009t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,31,,pilot-pq_009t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,32,,twinv-pq_010t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,33,,pilot-pq_010t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,34,,twinv-pq_011t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,35,,pilot-pq_011t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,36,,twinv-pq_012t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,37,,pilot-pq_012t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,38,,twinv-pq_013t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,39,,pilot-pq_013t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,40,,twinv-pq_014t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,41,,pilot-pq_014t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,42,,twinv-pq_015t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,43,,pilot-pq_015t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,44,,twinv-pq_016t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,45,,pilot-pq_016t-1,"~<userSkipped>~,~<condSkipped>~,",,,
,,,,,0,,ursi,,,,
